Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
strut-your-stuff-thong,Strut Your Stuff Thong,Color,Yellow,Size,M,,,P421-YL-M,0
strut-your-stuff-thong,Strut Your Stuff Thong,Color,Yellow,Size,S,,,P421-YL-S,2
strut-your-stuff-thong,Strut Your Stuff Thong,Color,Black,Size,XL,,,P421-BK-XL,0
strut-your-stuff-thong,Strut Your Stuff Thong,Color,Black,Size,L,,,P421-BK-L,0
strut-your-stuff-thong,Strut Your Stuff Thong,Color,Black,Size,M,,,P421-BK-M,0
strut-your-stuff-thong,Strut Your Stuff Thong,Color,Black,Size,S,,,P421-BK-S,0
the-tactel-tanga,The Tactel Tanga,Size,L,Color,Red,,,B319-RD-L,3
the-tactel-tanga,The Tactel Tanga,Size,L,Color,Black,,,B319-BK-L,1
the-tactel-tanga,The Tactel Tanga,Size,XL,Color,White,,,B319-WT-XL,2
the-tactel-tanga,The Tactel Tanga,Size,XL,Color,Charcoal,,,B319-CH-XL,2
the-tactel-tanga,The Tactel Tanga,Size,L,Color,Charcoal,,,B319-CH-L,3
the-tactel-tanga,The Tactel Tanga,Size,XL,Color,Mint,,,B319-MT-XL,2
mens-g-string,Mini Sparkler G,Color,Turquoise,Size,2XL,,,C117-TQ-2X,0
mens-g-string,Mini Sparkler G,Color,Silver,Size,2XL,,,C117-SI-2X,1
mens-g-string,Mini Sparkler G,Color,Turquoise,Size,XL,,,C117-TQ-XL,1
mens-g-string,Mini Sparkler G,Color,Silver,Size,XL,,,C117-SI-XL,2
mens-g-string,Mini Sparkler G,Color,Turquoise,Size,L,,,C117-TQ-L,4
mens-g-string,Mini Sparkler G,Color,Silver,Size,L,,,C117-SI-L,4
mens-g-string,Mini Sparkler G,Color,Turquoise,Size,M,,,C117-TQ-M,3
mens-g-string,Mini Sparkler G,Color,Silver,Size,M,,,C117-SI-M,4
the-tlc-brief,The TLC Brief,Size,2XL,Color,Pink,,,H300-PK-2X,1
mens-g-string,Mini Sparkler G,Color,Turquoise,Size,S,,,C117-TQ-S,0
the-tlc-brief,The TLC Brief,Size,L,Color,Pink,,,H300-PK-L,3
mens-g-string,Mini Sparkler G,Color,Silver,Size,S,,,C117-SI-S,2
the-tlc-brief,The TLC Brief,Size,M,Color,Pink,,,H300-PK-M,1
the-tlc-brief,The TLC Brief,Size,2XL,Color,Amethyst,,,H300-AM-2X,1
the-tlc-brief,The TLC Brief,Size,S,Color,Amethyst,,,H300-AM-S,1
the-tlc-brief,The TLC Brief,Size,2XL,Color,Denim,,,H300-DE-2X,1
the-tlc-brief,The TLC Brief,Size,L,Color,Denim,,,H300-DE-L,1
the-tlc-brief,The TLC Brief,Size,S,Color,Denim,,,H300-DE-S,2
the-tlc-brief,The TLC Brief,Size,2XL,Color,Grey,,,H300-GY-2X,1
the-tlc-brief,The TLC Brief,Size,L,Color,Grey,,,H300-GY-L,1
the-tlc-brief,The TLC Brief,Size,S,Color,Grey,,,H300-GY-S,2
the-tlc-brief,The TLC Brief,Size,2XL,Color,Black,,,H300-BK-2X,1
the-tlc-brief,The TLC Brief,Size,L,Color,Black,,,H300-BK-L,1
the-tlc-brief,The TLC Brief,Size,2XL,Color,Red,,,H300-RD-2X,1
the-tlc-brief,The TLC Brief,Size,XL,Color,Red,,,H300-RD-XL,2
the-tlc-brief,The TLC Brief,Size,M,Color,Red,,,H300-RD-M,3
the-tlc-brief,The TLC Brief,Size,S,Color,Red,,,H300-RD-S,1
the-tlc-brief,The TLC Brief,Size,2XL,Color,Royal Blue,,,H300-RO-2X,1
the-tlc-brief,The TLC Brief,Size,L,Color,Royal Blue,,,H300-RO-L,2
the-tlc-brief,The TLC Brief,Size,M,Color,Royal Blue,,,H300-RO-M,1
the-tlc-brief,The TLC Brief,Size,2XL,Color,Charcoal,,,H300-CH-2X,1
the-tlc-brief,The TLC Brief,Size,L,Color,Charcoal,,,H300-CH-L,2
soft-tangle-free-sleep-shorts,Soft Tangle-Free Jersey Shorts,Size,XL,Color,White,,,R245-WT-XL,4
soft-tangle-free-sleep-shorts,Soft Tangle-Free Jersey Shorts,Size,L,Color,White,,,R245-WT-L,6
soft-tangle-free-sleep-shorts,Soft Tangle-Free Jersey Shorts,Size,M,Color,Azure Blue,,,R245-AB-M,8
soft-tangle-free-sleep-shorts,Soft Tangle-Free Jersey Shorts,Size,S,Color,Azure Blue,,,R245-AB-S,4
soft-tangle-free-sleep-shorts,Soft Tangle-Free Jersey Shorts,Size,L,Color,Fuchsia,,,R245-FU-L,2
soft-tangle-free-sleep-shorts,Soft Tangle-Free Jersey Shorts,Size,S,Color,Fuchsia,,,R245-FU-S,3
stay-up-stocking,Stay-Up Stocking,Size,L,Color,Black,,,X975-BK-L,2
stay-up-stocking,Stay-Up Stocking,Size,M,Color,Black,,,X975-BK-M,4
stay-up-stocking,Stay-Up Stocking,Size,L,Color,Red,,,X975-RD-L,2
