Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
lace-picot-thong,The Indigo Lace Thong,Size,M,Color,Indigo,,,Z492-IN-M,0
lace-picot-thong,The Indigo Lace Thong,Size,S,Color,Indigo,,,Z492-IN-S,2
the-hero-panty,The Hero Brief,Size,2XL,Color,Grey,,,Z340-GY-2X,1
mens-satin-pouch-brief,Glistening Satin Pouch Brief,Size,2XL,Color,Mint,,,K210-MT-2X,2
mens-satin-pouch-brief,Glistening Satin Pouch Brief,Size,2XL,Color,Lavender,,,K210-LV-2X,1
mens-satin-pouch-brief,Glistening Satin Pouch Brief,Size,M,Color,Pink,,,K210-PK-M,2
mens-satin-pouch-brief,Glistening Satin Pouch Brief,Size,S,Color,Pink,,,K210-PK-S,2
mens-satin-pouch-brief,Glistening Satin Pouch Brief,Size,S,Color,Mint,,,K210-MT-S,2
mens-satin-pouch-brief,Glistening Satin Pouch Brief,Size,S,Color,Lavender,,,K210-LV-S,0
satin-high-waisted-tricot-brief,Satin High Waisted Tricot Brief,Color,White,Size,M,,,Z702-WT-M,2
satin-high-waisted-tricot-brief,Satin High Waisted Tricot Brief,Color,Pink,Size,M,,,Z702-PK-M,1
mens-metallic-track-shorts,Metallic Track Shorts,Size,2XL,Color,Olive,,,S191-OL-2X,0
mens-metallic-track-shorts,Metallic Track Shorts,Size,2XL,Color,Blue,,,S191-BL-2X,0
mens-metallic-track-shorts,Metallic Track Shorts,Size,XL,Color,Olive,,,S191-OL-XL,0
mens-metallic-track-shorts,Metallic Track Shorts,Size,XL,Color,Blue,,,S191-BL-XL,0
mens-metallic-track-shorts,Metallic Track Shorts,Size,L,Color,Olive,,,S191-OL-L,0
mens-metallic-track-shorts,Metallic Track Shorts,Size,L,Color,Blue,,,S191-BL-L,0
